fs,qe
12.02555318,1.041232846
12.12555318,1.042608133
12.22555318,1.043983419
12.32555318,1.045358706
12.42555318,1.046733992
12.52555318,1.048109279
12.62555318,1.049484565
12.72555318,1.050859852
12.82555318,1.052235138
14.62074404,1.053610425
26.53883513,1.810703517
23.44378569,0.470960177
12.3411114,0.362572825
22.72901188,0.503943432
16.06633666,0.490620699
11.78398196,0.48374386
13.91765028,0.539279847
19.16671195,0.525781956
17.36781301,0.497922455
20.63368097,0.708459336
19.91296156,0.715200831
11.95720318,0.469005192
11.9364,0.477987779
12.5601428,0.505047973
11.984069,0.544685143
11.75821159,0.522608385
11.6768167,0.520799639
11.93165,0.559628948
12.198219,0.560980245
12.6818762,0.559132441
13.6903742,0.566467427
13.5723952,0.569103102
13.7679,0.575615659
12.7487502,0.585569
12.40350699,0.586358633
12.65805,0.621602802
14.88000729,0.621671142
12.6744642,0.62053358
12.689,0.621423799
15.3696593,0.67110786
13.5722546,0.680933197
13.0865833,0.666388154
14.3176476,0.69685703
13.02485,0.697611341
12.3580215,0.681587252
13.13914046,0.67940183
12.753169,0.707210135
14.3369643,0.741522322
13.8839,0.749803679
13.9981405,0.7352495
13.4500406,0.731288636
15.5809668,0.75505
14.747981,0.781385714
14.3027096,0.77574
15.0171,0.766810729
13.5149,0.744996676
16.6204856,0.821522601
21.35246853,0.932408
16.5425572,0.826433799
17.928919,0.886862227
16.70754505,0.851367537
17.3549,0.89745056
16.65946693,0.854687633
17.25043685,0.892483981
17.7030785,0.891630729
20.7618714,0.931844519
19.8093357,0.932143918
18.1097261,0.902390741
17.05983317,0.911444956
18.4951952,0.932611458
19.05182198,0.942814828
19.7046,0.981375248
20.0772262,0.981901018
17.8767358,1.011631389
19.2026904,1.012588088
20.34975,1.021957073
20.2473,1.03307921
19.557119,1.023548639
20.6264463,1.071152357
17.61450773,0.96842
19.8994476,1.023308639
20.6234572,1.007623492
23.4019119,1.059324681
21.8615881,1.059109091
22.9826428,1.117933892
23.3953524,1.108380087
24.48131446,1.147529639
22.9282785,1.15624087
23.75183805,1.234360507
24.04925,1.179220656
22.2114,1.145430885
23.4994762,1.151374665
29.95789245,1.250506111
30.2528029,1.25147463
30.2795762,1.228661175
42.54369,1.366122326
44.50237585,1.374441897
37.7080782,1.341198601
35.4881015,1.264407628
42.0822358,1.425333211
30.58275422,1.10964371
17.6092428,0.886368542
23.6271629,1.310377895
40.87511362,1.386471473
28.54254219,0.936258174
23.9016561,0.940092448
24.13917227,0.979145619
30.00132733,1.177391977
32.02137354,1.16552
46.59602306,1.514127838
41.46816615,1.569279542
21.0007,0.958235336
43.20999583,1.862851155
53.40695926,1.907848611
24.91302448,0.5498925
65.56639158,3.084003636
68.4493882,2.658124545
59.12511351,4.71134
55.58457297,4.70644
52.04403243,4.70154
8.651857453,0.502852842
12.03735773,0.507122185
15.42285801,0.511391529
18.80835829,0.515660872
25.78582451,0.519930215
20.35347733,0.394199558
22.1430284,0.42312074
15.42285801,0.301762157
18.80835829,0.376139578
21.5214467,0.522375211
17.04546298,0.438086056
10.81363596,0.40437593
13.41297292,0.508067541
10.42120683,0.435812935
19.27593923,0.656452409
16.1462972,0.679503592
18.52759891,0.531765443
17.87762699,0.819238111
18.43711016,0.672199585
16.20097179,0.723133268
9.45911572,0.389677
9.519318442,0.39850309
9.285745,0.459622932
10.08005116,0.440548343
9.69456526,0.41795395
9.239871648,0.455677
9.83416757,0.457111414
9.959705,0.471980398
10.963929,0.471497385
10.7588449,0.478899935
11.8481952,0.505063892
12.1876973,0.526448714
12.41515,0.530068598
13.0009612,0.53668702
12.17405754,0.51995914
12.56995,0.55636351
12.4993994,0.598023557
13.532783,0.590987396
12.7819,0.595867108
12.7747,0.58178442
15.0476192,0.630813
13.0514328,0.621715181
12.9791499,0.62703166
15.0396,0.678021501
13.1867357,0.668956808
12.95790729,0.656736655
13.1174524,0.663519142
14.9925096,0.705997
14.59907043,0.702594
14.35516503,0.707566551
14.1534148,0.69875079
15.74695,0.743652312
15.3476979,0.741249327
14.6169188,0.741708771
14.91319061,0.75226
16.1430758,0.767632389
21.39365,0.886214111
17.6176021,0.822089666
18.49896743,0.840986444
19.2240322,0.887859556
19.6377927,0.89316898
18.26425,0.861856414
19.1943568,0.872273149
19.34505045,0.846956207
21.42935,0.909342128
21.70117832,0.898465977
20.4487406,0.898578105
19.94132108,0.913395102
21.0554,0.901355503
22.093575,0.944163705
21.7841119,0.927219675
20.6195261,0.93856
20.3837834,0.984013234
22.9859664,1.00574213
21.92740689,0.969222566
22.7180602,1.008949333
23.58005355,0.973588018
20.8959,0.94917
21.55630669,0.989761064
23.04513,1.004714342
28.73418462,1.056995
24.60264322,1.009785724
25.3412646,1.043897047
25.84936683,1.126129242
28.4472019,1.116770494
24.47620634,1.09049
29.1716825,1.247924474
24.78523796,1.08979
25.6186166,1.111476764
26.1256077,1.172706864
26.24255,1.144795133
28.1831322,1.169054379
33.62535534,1.245366316
30.1602,1.231370473
30.46180905,1.204810466
34.40065423,1.232378854
39.60889054,1.03746771
31.82592943,0.998785452
38.43063738,1.499671579
36.21641023,1.306425707
27.99164888,1.034969342
46.56820741,1.4818886
