Test Points Classification Results
fs (kPa)        qE (MPa)        P(soil1)        P(soil2)        P(soil3)        P(soil4)        Max Prob Soil  
42.54           1.37            0.0000          0.0153          0.9596          0.0251          soil3          
44.50           1.37            0.0000          0.0105          0.9609          0.0287          soil3          
37.71           1.34            0.0000          0.0368          0.9457          0.0175          soil3          
35.49           1.26            0.0000          0.0878          0.9002          0.0120          soil3          
42.08           1.43            0.0000          0.0095          0.9619          0.0287          soil3          
30.58           1.11            0.0000          0.3330          0.6624          0.0045          soil3          
17.61           0.89            0.0153          0.8020          0.1824          0.0003          soil2          
23.63           1.31            0.0000          0.1576          0.8365          0.0059          soil3          
40.88           1.39            0.0000          0.0162          0.9597          0.0240          soil3          
28.54           0.94            0.0008          0.5903          0.4071          0.0018          soil2          
23.90           0.94            0.0020          0.6915          0.3056          0.0009          soil2          
24.14           0.98            0.0006          0.6507          0.3475          0.0012          soil2          
30.00           1.18            0.0000          0.2542          0.7401          0.0056          soil3          
32.02           1.17            0.0000          0.2298          0.7637          0.0065          soil3          
46.60           1.51            0.0000          0.0019          0.9517          0.0464          soil3          
41.47           1.57            0.0000          0.0022          0.9554          0.0424          soil3          
21.00           0.96            0.0017          0.7225          0.2751          0.0007          soil2          
43.21           1.86            0.0000          0.0000          0.8744          0.1256          soil3          
53.41           1.91            0.0000          0.0000          0.7957          0.2043          soil3          
24.91           0.55            0.2673          0.5579          0.1744          0.0004          soil2          
65.57           3.08            0.0000          0.0000          0.0034          0.9966          soil4          
68.45           2.66            0.0000          0.0000          0.0591          0.9409          soil4          
59.13           4.71            0.0000          0.0000          0.0000          1.0000          soil4          
55.58           4.71            0.0000          0.0000          0.0000          1.0000          soil4          
52.04           4.70            0.0000          0.0000          0.0000          1.0000          soil4          
8.65            0.50            0.8515          0.1364          0.0121          0.0000          soil1          
12.04           0.51            0.8228          0.1605          0.0167          0.0000          soil1          
15.42           0.51            0.7580          0.2142          0.0278          0.0000          soil1          
18.81           0.52            0.6364          0.3103          0.0532          0.0001          soil1          
25.79           0.52            0.2190          0.5695          0.2110          0.0005          soil2          
20.35           0.39            0.4731          0.4119          0.1149          0.0002          soil1          
22.14           0.42            0.3920          0.4641          0.1436          0.0002          soil2          
15.42           0.30            0.5728          0.3424          0.0847          0.0001          soil1          
18.81           0.38            0.5424          0.3653          0.0923          0.0001          soil1          
21.52           0.52            0.4875          0.4191          0.0932          0.0002          soil1          
17.05           0.44            0.7036          0.2524          0.0439          0.0000          soil1          
10.81           0.40            0.8442          0.1392          0.0166          0.0000          soil1          
13.41           0.51            0.8022          0.1777          0.0201          0.0000          soil1          
10.42           0.44            0.8548          0.1311          0.0142          0.0000          soil1          
19.28           0.66            0.4151          0.5036          0.0812          0.0001          soil2          
16.15           0.68            0.4499          0.4872          0.0628          0.0001          soil2          
18.53           0.53            0.6410          0.3086          0.0503          0.0001          soil1          
17.88           0.82            0.0652          0.7881          0.1464          0.0002          soil2          
18.44           0.67            0.4048          0.5168          0.0783          0.0001          soil2          
16.20           0.72            0.3083          0.6087          0.0829          0.0001          soil2          
9.46            0.39            0.8546          0.1304          0.0150          0.0000          soil1          
9.52            0.40            0.8570          0.1285          0.0145          0.0000          soil1          
9.29            0.46            0.8629          0.1250          0.0121          0.0000          soil1          
10.08           0.44            0.8582          0.1283          0.0135          0.0000          soil1          
9.69            0.42            0.8598          0.1265          0.0137          0.0000          soil1          
9.24            0.46            0.8638          0.1241          0.0121          0.0000          soil1          
9.83            0.46            0.8593          0.1279          0.0128          0.0000          soil1          
9.96            0.47            0.8557          0.1314          0.0129          0.0000          soil1          
10.96           0.47            0.8468          0.1388          0.0144          0.0000          soil1          
10.76           0.48            0.8472          0.1388          0.0140          0.0000          soil1          
11.85           0.51            0.8261          0.1576          0.0163          0.0000          soil1          
12.19           0.53            0.8097          0.1726          0.0177          0.0000          soil1          
12.42           0.53            0.8042          0.1774          0.0184          0.0000          soil1          
13.00           0.54            0.7909          0.1890          0.0201          0.0000          soil1          
12.17           0.52            0.8141          0.1685          0.0174          0.0000          soil1          
12.57           0.56            0.7788          0.2007          0.0205          0.0000          soil1          
12.50           0.60            0.7220          0.2527          0.0253          0.0000          soil1          
13.53           0.59            0.7186          0.2543          0.0271          0.0000          soil1          
12.78           0.60            0.7220          0.2523          0.0257          0.0000          soil1          
12.77           0.58            0.7442          0.2320          0.0237          0.0000          soil1          
15.05           0.63            0.6104          0.3488          0.0408          0.0000          soil1          
13.05           0.62            0.6678          0.3010          0.0312          0.0000          soil1          
12.98           0.63            0.6567          0.3111          0.0321          0.0000          soil1          
15.04           0.68            0.4790          0.4651          0.0558          0.0001          soil1          
13.19           0.67            0.5382          0.4170          0.0447          0.0000          soil1          
12.96           0.66            0.5786          0.3814          0.0400          0.0000          soil1          
13.12           0.66            0.5561          0.4012          0.0427          0.0000          soil1          
14.99           0.71            0.3867          0.5458          0.0674          0.0001          soil2          
14.60           0.70            0.4048          0.5313          0.0639          0.0001          soil2          
14.36           0.71            0.3910          0.5440          0.0649          0.0001          soil2          
14.15           0.70            0.4248          0.5151          0.0601          0.0001          soil2          
15.75           0.74            0.2502          0.6594          0.0903          0.0001          soil2          
15.35           0.74            0.2629          0.6503          0.0867          0.0001          soil2          
14.62           0.74            0.2698          0.6472          0.0829          0.0001          soil2          
14.91           0.75            0.2330          0.6769          0.0899          0.0001          soil2          
16.14           0.77            0.1768          0.7175          0.1055          0.0001          soil2          
21.39           0.89            0.0109          0.7641          0.2245          0.0005          soil2          
17.62           0.82            0.0630          0.7911          0.1457          0.0002          soil2          
18.50           0.84            0.0401          0.7957          0.1639          0.0003          soil2          
19.22           0.89            0.0131          0.7874          0.1991          0.0004          soil2          
19.64           0.89            0.0111          0.7814          0.2071          0.0004          soil2          
18.26           0.86            0.0260          0.8001          0.1736          0.0003          soil2          
19.19           0.87            0.0190          0.7916          0.1890          0.0004          soil2          
19.35           0.85            0.0328          0.7911          0.1758          0.0003          soil2          
21.43           0.91            0.0062          0.7523          0.2410          0.0006          soil2          
21.70           0.90            0.0078          0.7545          0.2371          0.0006          soil2          
20.45           0.90            0.0090          0.7702          0.2204          0.0005          soil2          
19.94           0.91            0.0065          0.7684          0.2247          0.0005          soil2          
21.06           0.90            0.0078          0.7615          0.2302          0.0005          soil2          
22.09           0.94            0.0023          0.7184          0.2786          0.0007          soil2          
21.78           0.93            0.0037          0.7359          0.2598          0.0007          soil2          
20.62           0.94            0.0031          0.7436          0.2527          0.0006          soil2          
20.38           0.98            0.0009          0.7067          0.2918          0.0007          soil2          
22.99           1.01            0.0003          0.6428          0.3557          0.0011          soil2          
21.93           0.97            0.0011          0.6989          0.2991          0.0008          soil2          
22.72           1.01            0.0003          0.6437          0.3549          0.0011          soil2          
23.58           0.97            0.0008          0.6668          0.3313          0.0010          soil2          
20.90           0.95            0.0023          0.7316          0.2655          0.0007          soil2          
21.56           0.99            0.0006          0.6840          0.3145          0.0009          soil2          
23.05           1.00            0.0003          0.6429          0.3556          0.0011          soil2          
28.73           1.06            0.0000          0.4506          0.5464          0.0030          soil3          
24.60           1.01            0.0002          0.6074          0.3909          0.0014          soil2          
25.34           1.04            0.0001          0.5485          0.4496          0.0019          soil2          
25.85           1.13            0.0000          0.4146          0.5825          0.0030          soil3          
28.45           1.12            0.0000          0.3733          0.6230          0.0037          soil3          
24.48           1.09            0.0000          0.4985          0.4994          0.0021          soil3          
29.17           1.25            0.0000          0.1775          0.8155          0.0070          soil3          
24.79           1.09            0.0000          0.4935          0.5043          0.0022          soil3          
25.62           1.11            0.0000          0.4426          0.5547          0.0027          soil3          
26.13           1.17            0.0000          0.3337          0.6625          0.0038          soil3          
26.24           1.14            0.0000          0.3767          0.6199          0.0034          soil3          
28.18           1.17            0.0000          0.3010          0.6944          0.0046          soil3          
33.63           1.25            0.0000          0.1224          0.8678          0.0098          soil3          
30.16           1.23            0.0000          0.1834          0.8096          0.0071          soil3          
30.46           1.20            0.0000          0.2106          0.7828          0.0065          soil3          
34.40           1.23            0.0000          0.1233          0.8667          0.0100          soil3          
39.61           1.04            0.0000          0.1751          0.8158          0.0091          soil3          
31.83           1.00            0.0001          0.4333          0.5632          0.0034          soil3          
38.43           1.50            0.0000          0.0071          0.9637          0.0292          soil3          
36.22           1.31            0.0000          0.0587          0.9270          0.0143          soil3          
27.99           1.03            0.0001          0.4984          0.4991          0.0025          soil3          
46.57           1.48            0.0000          0.0027          0.9549          0.0424          soil3          
40.08           1.73            0.0000          0.0003          0.9316          0.0681          soil3          
39.46           1.22            0.0000          0.0745          0.9116          0.0140          soil3          
25.65           0.97            0.0007          0.6337          0.3642          0.0013          soil2          
39.34           1.41            0.0000          0.0158          0.9606          0.0236          soil3          
35.85           1.28            0.0000          0.0725          0.9144          0.0131          soil3          
45.49           1.70            0.0000          0.0002          0.9209          0.0788          soil3          
44.19           1.72            0.0000          0.0002          0.9201          0.0797          soil3          
45.65           2.44            0.0000          0.0000          0.2491          0.7509          soil4          
42.98           2.77            0.0000          0.0000          0.0359          0.9641          soil4          
38.72           1.22            0.0000          0.0788          0.9077          0.0135          soil3          
39.59           2.19            0.0000          0.0000          0.6177          0.3823          soil3          
42.14           1.27            0.0000          0.0340          0.9466          0.0194          soil3          
46.60           2.84            0.0000          0.0000          0.0212          0.9788          soil4          
49.05           3.89            0.0000          0.0000          0.0000          1.0000          soil4          
54.11           1.66            0.0000          0.0001          0.9017          0.0982          soil3          
38.47           1.10            0.0000          0.1560          0.8344          0.0096          soil3          
32.06           0.84            0.0024          0.5485          0.4469          0.0022          soil2          
33.97           1.31            0.0000          0.0715          0.9160          0.0125          soil3          
8.55            0.26            0.7196          0.2375          0.0429          0.0000          soil1          
10.91           0.27            0.6872          0.2612          0.0515          0.0000          soil1          
13.28           0.29            0.6332          0.3002          0.0665          0.0000          soil1          
15.65           0.30            0.5542          0.3550          0.0907          0.0001          soil1          
9.07            0.31            0.8029          0.1720          0.0251          0.0000          soil1          
10.48           0.33            0.7945          0.1785          0.0269          0.0000          soil1          
11.88           0.34            0.7753          0.1938          0.0310          0.0000          soil1          
13.28           0.36            0.7696          0.1985          0.0319          0.0000          soil1          
15.65           0.36            0.6890          0.2603          0.0506          0.0000          soil1          
15.74           0.38            0.7033          0.2500          0.0467          0.0000          soil1          
12.91           0.33            0.7339          0.2258          0.0403          0.0000          soil1          
18.77           0.46            0.6340          0.3062          0.0598          0.0001          soil1          
11.87           0.47            0.8366          0.1473          0.0161          0.0000          soil1          
11.72           0.94            0.0033          0.8105          0.1860          0.0002          soil2          
8.32            0.38            0.8608          0.1252          0.0140          0.0000          soil1          
9.86            0.41            0.8563          0.1293          0.0145          0.0000          soil1          
10.83           0.45            0.8508          0.1347          0.0146          0.0000          soil1          
13.34           0.45            0.8143          0.1651          0.0205          0.0000          soil1          
12.74           0.43            0.8218          0.1582          0.0200          0.0000          soil1          
12.00           0.46            0.8359          0.1476          0.0165          0.0000          soil1          
