Test Points Classification Results
fs (kPa)        qE (MPa)        P(soil1)        P(soil2)        P(soil3)        P(soil4)        Max Prob Soil  
15.67           0.78            0.1518          0.7395          0.1086          0.0001          soil2          
16.83           0.77            0.1654          0.7232          0.1113          0.0001          soil2          
15.52           0.76            0.2074          0.6957          0.0968          0.0001          soil2          
18.96           0.87            0.0201          0.7939          0.1857          0.0003          soil2          
20.12           0.88            0.0148          0.7811          0.2037          0.0004          soil2          
18.10           0.85            0.0339          0.8003          0.1655          0.0003          soil2          
18.46           0.86            0.0298          0.7985          0.1715          0.0003          soil2          
19.51           0.90            0.0105          0.7816          0.2074          0.0004          soil2          
18.51           0.86            0.0279          0.7982          0.1736          0.0003          soil2          
19.41           0.90            0.0091          0.7800          0.2104          0.0004          soil2          
19.02           0.91            0.0085          0.7820          0.2091          0.0004          soil2          
22.60           0.93            0.0029          0.7199          0.2764          0.0008          soil2          
22.09           0.93            0.0030          0.7268          0.2695          0.0007          soil2          
20.04           0.91            0.0077          0.7711          0.2207          0.0005          soil2          
19.14           0.92            0.0060          0.7740          0.2196          0.0004          soil2          
19.65           0.92            0.0058          0.7686          0.2251          0.0005          soil2          
22.20           0.99            0.0006          0.6722          0.3263          0.0010          soil2          
21.92           0.98            0.0008          0.6880          0.3103          0.0009          soil2          
20.61           0.95            0.0024          0.7362          0.2608          0.0006          soil2          
22.60           0.97            0.0009          0.6839          0.3143          0.0009          soil2          
22.69           1.00            0.0004          0.6548          0.3437          0.0011          soil2          
20.91           0.98            0.0011          0.7078          0.2904          0.0008          soil2          
23.46           1.02            0.0002          0.6116          0.3869          0.0013          soil2          
21.59           1.00            0.0004          0.6676          0.3310          0.0010          soil2          
19.60           0.98            0.0009          0.7165          0.2819          0.0007          soil2          
21.97           1.03            0.0002          0.6290          0.3696          0.0012          soil2          
21.11           1.02            0.0002          0.6528          0.3459          0.0010          soil2          
23.12           1.07            0.0000          0.5619          0.4365          0.0016          soil2          
25.84           1.02            0.0002          0.5745          0.4237          0.0017          soil2          
25.34           1.06            0.0000          0.5231          0.4748          0.0020          soil2          
26.01           1.15            0.0000          0.3749          0.6217          0.0034          soil3          
25.44           1.11            0.0000          0.4478          0.5496          0.0026          soil3          
27.85           1.15            0.0000          0.3367          0.6592          0.0041          soil3          
23.92           1.16            0.0000          0.3881          0.6090          0.0030          soil3          
23.62           1.15            0.0000          0.4070          0.5903          0.0028          soil3          
23.47           1.12            0.0000          0.4684          0.5294          0.0023          soil3          
23.95           1.17            0.0000          0.3711          0.6257          0.0031          soil3          
26.78           1.21            0.0000          0.2679          0.7273          0.0048          soil3          
27.03           1.20            0.0000          0.2691          0.7261          0.0048          soil3          
27.68           1.22            0.0000          0.2399          0.7547          0.0054          soil3          
28.54           1.29            0.0000          0.1418          0.8505          0.0077          soil3          
27.00           1.27            0.0000          0.1736          0.8199          0.0065          soil3          
28.37           1.32            0.0000          0.1126          0.8788          0.0086          soil3          
35.92           1.36            0.0000          0.0385          0.9450          0.0165          soil3          
27.44           1.26            0.0000          0.1857          0.8080          0.0063          soil3          
26.53           1.29            0.0000          0.1555          0.8377          0.0068          soil3          
38.53           1.38            0.0000          0.0239          0.9556          0.0205          soil3          
33.30           1.31            0.0000          0.0791          0.9091          0.0118          soil3          
34.28           1.36            0.0000          0.0455          0.9395          0.0150          soil3          
37.47           1.44            0.0000          0.0146          0.9621          0.0232          soil3          
37.08           1.36            0.0000          0.0330          0.9491          0.0179          soil3          
29.81           1.31            0.0000          0.1045          0.8861          0.0094          soil3          
41.07           1.40            0.0000          0.0135          0.9610          0.0255          soil3          
40.76           1.40            0.0000          0.0150          0.9604          0.0246          soil3          
39.49           1.79            0.0000          0.0001          0.9167          0.0832          soil3          
45.78           1.55            0.0000          0.0015          0.9492          0.0494          soil3          
43.94           1.74            0.0000          0.0002          0.9163          0.0835          soil3          
44.71           2.01            0.0000          0.0000          0.7707          0.2293          soil3          
44.54           1.80            0.0000          0.0001          0.8965          0.1035          soil3          
43.88           1.60            0.0000          0.0011          0.9462          0.0527          soil3          
18.66           0.98            0.0010          0.7297          0.2687          0.0006          soil2          
42.79           3.50            0.0000          0.0000          0.0001          0.9999          soil4          
42.68           4.32            0.0000          0.0000          0.0000          1.0000          soil4          
58.12           1.77            0.0000          0.0000          0.8440          0.1560          soil3          
38.83           1.44            0.0000          0.0131          0.9622          0.0247          soil3          
33.46           1.04            0.0000          0.3416          0.6537          0.0048          soil3          
30.92           1.42            0.0000          0.0343          0.9509          0.0149          soil3          
26.60           1.22            0.0000          0.2539          0.7412          0.0050          soil3          
8.65            0.50            0.8515          0.1364          0.0121          0.0000          soil1          
12.04           0.51            0.8228          0.1605          0.0167          0.0000          soil1          
15.42           0.51            0.7580          0.2142          0.0278          0.0000          soil1          
18.81           0.52            0.6364          0.3103          0.0532          0.0001          soil1          
20.12           0.50            0.5729          0.3552          0.0718          0.0001          soil1          
108.31          3.05            0.0000          0.0000          0.0069          0.9931          soil4          
68.15           1.08            0.0000          0.0002          0.9329          0.0669          soil3          
11.19           0.16            0.2943          0.5151          0.1905          0.0001          soil2          
7.28            0.16            0.4194          0.4504          0.1301          0.0001          soil2          
9.94            1.19            0.0000          0.4319          0.5670          0.0011          soil3          
12.02           0.19            0.3685          0.4738          0.1575          0.0001          soil2          
10.75           0.21            0.5191          0.3811          0.0997          0.0001          soil1          
11.45           0.50            0.8310          0.1535          0.0155          0.0000          soil1          
56.64           4.60            0.0000          0.0000          0.0000          1.0000          soil4          
29.82           0.89            0.0017          0.5878          0.4087          0.0018          soil2          
46.45           1.44            0.0000          0.0043          0.9584          0.0373          soil3          
55.19           1.49            0.0000          0.0005          0.9346          0.0649          soil3          
34.06           1.70            0.0000          0.0008          0.9518          0.0474          soil3          
46.74           1.35            0.0000          0.0086          0.9605          0.0309          soil3          
29.57           0.93            0.0007          0.5658          0.4315          0.0020          soil2          
18.49           0.62            0.5236          0.4139          0.0623          0.0001          soil1          
14.70           0.51            0.7739          0.2014          0.0247          0.0000          soil1          
13.59           0.49            0.8049          0.1747          0.0205          0.0000          soil1          
14.40           0.55            0.7500          0.2242          0.0257          0.0000          soil1          
15.26           0.51            0.7613          0.2116          0.0271          0.0000          soil1          
13.35           0.54            0.7848          0.1941          0.0211          0.0000          soil1          
13.14           0.54            0.7875          0.1919          0.0206          0.0000          soil1          
13.89           0.49            0.8012          0.1773          0.0215          0.0000          soil1          
15.04           0.60            0.6684          0.2969          0.0347          0.0000          soil1          
17.47           0.75            0.2033          0.6898          0.1068          0.0001          soil2          
17.47           0.72            0.2960          0.6135          0.0903          0.0001          soil2          
15.23           0.63            0.6003          0.3574          0.0423          0.0000          soil1          
15.04           0.62            0.6308          0.3306          0.0386          0.0000          soil1          
15.55           0.63            0.5896          0.3661          0.0443          0.0000          soil1          
15.15           0.64            0.5937          0.3635          0.0428          0.0000          soil1          
15.64           0.64            0.5683          0.3848          0.0469          0.0000          soil1          
14.60           0.63            0.6122          0.3481          0.0396          0.0000          soil1          
15.25           0.68            0.4798          0.4638          0.0563          0.0001          soil1          
15.34           0.70            0.3869          0.5445          0.0685          0.0001          soil2          
16.70           0.73            0.2853          0.6260          0.0886          0.0001          soil2          
15.09           0.75            0.2345          0.6751          0.0904          0.0001          soil2          
15.02           0.76            0.2174          0.6894          0.0930          0.0001          soil2          
18.75           0.82            0.0542          0.7879          0.1576          0.0003          soil2          
14.60           0.75            0.2370          0.6748          0.0881          0.0001          soil2          
17.09           0.83            0.0598          0.7961          0.1438          0.0002          soil2          
15.64           0.79            0.1191          0.7646          0.1162          0.0001          soil2          
14.65           0.76            0.2038          0.7021          0.0940          0.0001          soil2          
14.20           0.76            0.2101          0.6986          0.0912          0.0001          soil2          
17.55           0.85            0.0354          0.8038          0.1605          0.0003          soil2          
16.65           0.80            0.0960          0.7759          0.1279          0.0002          soil2          
15.25           0.78            0.1420          0.7489          0.1089          0.0001          soil2          
15.85           0.81            0.0967          0.7797          0.1235          0.0002          soil2          
16.92           0.82            0.0686          0.7921          0.1390          0.0002          soil2          
15.65           0.84            0.0528          0.8082          0.1388          0.0002          soil2          
15.60           0.81            0.0969          0.7808          0.1222          0.0002          soil2          
15.66           0.81            0.0856          0.7883          0.1260          0.0002          soil2          
18.57           0.93            0.0051          0.7753          0.2191          0.0004          soil2          
18.45           0.86            0.0296          0.7985          0.1716          0.0003          soil2          
19.49           0.90            0.0107          0.7821          0.2068          0.0004          soil2          
32.80           1.88            0.0000          0.0001          0.9102          0.0897          soil3          
19.90           0.90            0.0088          0.7749          0.2159          0.0005          soil2          
18.00           0.83            0.0479          0.7962          0.1557          0.0003          soil2          
19.10           0.93            0.0048          0.7693          0.2254          0.0005          soil2          
18.69           0.89            0.0126          0.7913          0.1957          0.0004          soil2          
19.86           0.89            0.0126          0.7814          0.2056          0.0004          soil2          
21.10           0.93            0.0041          0.7457          0.2497          0.0006          soil2          
19.50           0.94            0.0034          0.7565          0.2396          0.0005          soil2          
19.65           0.93            0.0045          0.7625          0.2325          0.0005          soil2          
19.35           0.92            0.0051          0.7684          0.2260          0.0005          soil2          
21.25           1.02            0.0002          0.6495          0.3492          0.0010          soil2          
20.61           1.00            0.0005          0.6878          0.3108          0.0008          soil2          
19.60           0.96            0.0017          0.7362          0.2615          0.0006          soil2          
20.70           0.96            0.0015          0.7217          0.2761          0.0007          soil2          
21.49           1.00            0.0005          0.6782          0.3204          0.0009          soil2          
20.45           1.01            0.0004          0.6768          0.3220          0.0009          soil2          
20.75           0.99            0.0006          0.6915          0.3070          0.0008          soil2          
19.20           0.94            0.0030          0.7567          0.2398          0.0005          soil2          
18.16           0.94            0.0036          0.7702          0.2258          0.0004          soil2          
20.15           0.98            0.0010          0.7133          0.2850          0.0007          soil2          
22.05           1.05            0.0001          0.5997          0.3989          0.0013          soil2          
39.03           1.29            0.0000          0.0463          0.9371          0.0166          soil3          
23.26           1.03            0.0001          0.6057          0.3928          0.0014          soil2          
24.69           1.09            0.0000          0.4922          0.5056          0.0022          soil3          
24.20           1.03            0.0001          0.5839          0.4144          0.0015          soil2          
28.59           1.12            0.0000          0.3619          0.6342          0.0039          soil3          
23.00           1.08            0.0000          0.5382          0.4601          0.0017          soil2          
24.89           1.11            0.0000          0.4571          0.5404          0.0025          soil3          
22.89           1.07            0.0000          0.5558          0.4425          0.0016          soil2          
24.05           1.08            0.0000          0.5274          0.4707          0.0019          soil2          
25.24           1.15            0.0000          0.3901          0.6067          0.0031          soil3          
25.26           1.16            0.0000          0.3736          0.6231          0.0033          soil3          
25.35           1.13            0.0000          0.4157          0.5814          0.0029          soil3          
26.04           1.16            0.0000          0.3603          0.6361          0.0035          soil3          
26.00           1.18            0.0000          0.3178          0.6782          0.0040          soil3          
27.34           1.20            0.0000          0.2660          0.7291          0.0049          soil3          
27.50           1.15            0.0000          0.3464          0.6497          0.0039          soil3          
26.82           1.13            0.0000          0.3913          0.6054          0.0033          soil3          
30.32           1.33            0.0000          0.0849          0.9047          0.0104          soil3          
31.03           1.18            0.0000          0.2324          0.7614          0.0062          soil3          
33.16           1.29            0.0000          0.0918          0.8972          0.0111          soil3          
32.35           1.24            0.0000          0.1438          0.8475          0.0087          soil3          
35.13           1.31            0.0000          0.0627          0.9237          0.0136          soil3          
28.46           1.11            0.0000          0.3821          0.6143          0.0036          soil3          
38.55           1.41            0.0000          0.0183          0.9595          0.0222          soil3          
40.33           1.21            0.0000          0.0684          0.9169          0.0147          soil3          
40.53           1.33            0.0000          0.0268          0.9527          0.0205          soil3          
36.04           1.29            0.0000          0.0688          0.9177          0.0134          soil3          
49.67           1.54            0.0000          0.0009          0.9418          0.0573          soil3          
52.13           2.94            0.0000          0.0000          0.0099          0.9901          soil4          
59.86           2.85            0.0000          0.0000          0.0180          0.9820          soil4          
43.95           1.52            0.0000          0.0028          0.9564          0.0407          soil3          
51.30           1.62            0.0000          0.0002          0.9211          0.0787          soil3          
36.25           2.67            0.0000          0.0000          0.0825          0.9175          soil4          
54.14           3.00            0.0000          0.0000          0.0064          0.9936          soil4          
54.85           4.66            0.0000          0.0000          0.0000          1.0000          soil4          
75.00           2.90            0.0000          0.0000          0.0130          0.9870          soil4          
75.00           0.17            0.0000          0.0000          0.7885          0.2115          soil3          
33.46           1.10            0.0000          0.2696          0.7245          0.0060          soil3          
30.92           0.84            0.0035          0.5857          0.4089          0.0019          soil2          
26.60           1.31            0.0000          0.1314          0.8612          0.0074          soil3          
21.32           0.39            0.4036          0.4540          0.1421          0.0002          soil2          
32.32           0.76            0.0067          0.5622          0.4291          0.0020          soil2          
67.46           3.04            0.0000          0.0000          0.0047          0.9953          soil4          
52.87           0.75            0.0000          0.0207          0.9575          0.0218          soil3          
21.32           0.37            0.3674          0.4727          0.1597          0.0003          soil2          
11.84           0.39            0.8243          0.1553          0.0204          0.0000          soil1          
18.09           0.57            0.6182          0.3322          0.0496          0.0001          soil1          
31.24           0.50            0.0301          0.5198          0.4484          0.0018          soil2          
23.41           0.74            0.1102          0.7113          0.1781          0.0004          soil2          
81.45           1.07            0.0000          0.0000          0.8687          0.1313          soil3          
24.07           0.53            0.3227          0.5245          0.1525          0.0003          soil2          
12.19           0.39            0.8130          0.1643          0.0227          0.0000          soil1          
8.18            0.42            0.8711          0.1172          0.0117          0.0000          soil1          
11.12           0.55            0.8038          0.1792          0.0170          0.0000          soil1          
12.51           0.61            0.6977          0.2747          0.0276          0.0000          soil1          
15.60           0.66            0.5166          0.4305          0.0528          0.0001          soil1          
12.03           0.63            0.6702          0.3003          0.0295          0.0000          soil1          
16.85           0.58            0.6483          0.3101          0.0415          0.0000          soil1          
14.83           0.57            0.7275          0.2439          0.0285          0.0000          soil1          
17.79           0.83            0.0554          0.7940          0.1504          0.0002          soil2          
9.69            0.52            0.8330          0.1531          0.0139          0.0000          soil1          
8.46            0.49            0.8583          0.1301          0.0116          0.0000          soil1          
8.40            0.52            0.8449          0.1427          0.0123          0.0000          soil1          
8.80            0.53            0.8316          0.1550          0.0134          0.0000          soil1          
8.54            0.55            0.8180          0.1677          0.0143          0.0000          soil1          
8.40            0.55            0.8203          0.1657          0.0140          0.0000          soil1          
9.05            0.56            0.8070          0.1776          0.0153          0.0000          soil1          
9.24            0.58            0.7792          0.2032          0.0176          0.0000          soil1          
9.19            0.58            0.7813          0.2013          0.0174          0.0000          soil1          
8.71            0.59            0.7663          0.2154          0.0183          0.0000          soil1          
9.50            0.60            0.7477          0.2320          0.0203          0.0000          soil1          
10.33           0.63            0.6805          0.2927          0.0267          0.0000          soil1          
10.38           0.63            0.6812          0.2921          0.0267          0.0000          soil1          
11.57           0.65            0.6245          0.3421          0.0333          0.0000          soil1          
11.27           0.66            0.5932          0.3709          0.0360          0.0000          soil1          
10.07           0.64            0.6433          0.3268          0.0298          0.0000          soil1          
11.29           0.68            0.5302          0.4274          0.0423          0.0000          soil1          
11.04           0.67            0.5626          0.3987          0.0387          0.0000          soil1          
12.04           0.71            0.4138          0.5297          0.0565          0.0000          soil2          
11.49           0.72            0.3797          0.5608          0.0594          0.0000          soil2          
12.48           0.73            0.3368          0.5961          0.0670          0.0001          soil2          
11.48           0.72            0.3582          0.5797          0.0620          0.0000          soil2          
12.48           0.76            0.2121          0.7026          0.0852          0.0001          soil2          
13.29           0.79            0.1304          0.7659          0.1036          0.0001          soil2          
12.03           0.76            0.2152          0.7013          0.0834          0.0001          soil2          
14.22           0.81            0.0967          0.7873          0.1158          0.0001          soil2          
12.03           0.80            0.1119          0.7845          0.1035          0.0001          soil2          
12.03           0.79            0.1299          0.7707          0.0993          0.0001          soil2          
12.19           0.81            0.0930          0.7979          0.1090          0.0001          soil2          
14.19           0.83            0.0692          0.8060          0.1247          0.0001          soil2          
13.41           0.85            0.0429          0.8240          0.1329          0.0002          soil2          
13.10           0.82            0.0846          0.8004          0.1148          0.0001          soil2          
14.24           0.87            0.0233          0.8252          0.1513          0.0002          soil2          
14.00           0.87            0.0263          0.8263          0.1472          0.0002          soil2          
13.05           0.85            0.0444          0.8249          0.1305          0.0001          soil2          
13.40           0.86            0.0305          0.8284          0.1409          0.0002          soil2          
13.49           0.85            0.0415          0.8243          0.1341          0.0002          soil2          
17.23           0.94            0.0043          0.7820          0.2133          0.0004          soil2          
15.85           0.95            0.0028          0.7814          0.2155          0.0004          soil2          
16.19           0.95            0.0031          0.7815          0.2151          0.0004          soil2          
15.32           0.95            0.0026          0.7832          0.2139          0.0003          soil2          
16.85           1.01            0.0005          0.7193          0.2797          0.0006          soil2          
15.31           0.96            0.0024          0.7811          0.2161          0.0004          soil2          
16.69           1.01            0.0005          0.7239          0.2750          0.0005          soil2          
16.59           0.97            0.0017          0.7622          0.2357          0.0004          soil2          
17.40           0.97            0.0016          0.7536          0.2444          0.0005          soil2          
18.55           1.02            0.0003          0.6834          0.3156          0.0008          soil2          
16.61           1.02            0.0003          0.7082          0.2909          0.0006          soil2          
17.89           1.03            0.0003          0.6896          0.3095          0.0007          soil2          
17.69           1.05            0.0001          0.6546          0.3445          0.0008          soil2          
19.14           1.08            0.0000          0.5926          0.4062          0.0012          soil2          
19.68           1.08            0.0000          0.5944          0.4043          0.0012          soil2          
17.67           1.09            0.0000          0.6039          0.3950          0.0010          soil2          
20.46           1.14            0.0000          0.4874          0.5108          0.0018          soil3          
19.40           1.13            0.0000          0.5147          0.4837          0.0016          soil2          
19.93           1.15            0.0000          0.4757          0.5225          0.0018          soil3          
18.20           1.11            0.0000          0.5630          0.4358          0.0012          soil2          
17.10           1.08            0.0000          0.6164          0.3826          0.0009          soil2          
19.07           1.13            0.0000          0.5184          0.4800          0.0015          soil2          
19.38           1.11            0.0000          0.5451          0.4535          0.0014          soil2          
21.85           1.23            0.0000          0.3011          0.6955          0.0035          soil3          
22.22           1.18            0.0000          0.3803          0.6169          0.0028          soil3          
22.05           1.20            0.0000          0.3546          0.6424          0.0030          soil3          
22.39           1.22            0.0000          0.3011          0.6954          0.0036          soil3          
23.99           1.22            0.0000          0.2866          0.7094          0.0040          soil3          
20.90           1.21            0.0000          0.3371          0.6600          0.0030          soil3          
22.78           1.25            0.0000          0.2527          0.7431          0.0042          soil3          
20.80           1.22            0.0000          0.3361          0.6610          0.0030          soil3          
21.15           1.24            0.0000          0.2934          0.7032          0.0034          soil3          
22.23           1.23            0.0000          0.2872          0.7092          0.0037          soil3          
22.55           1.27            0.0000          0.2212          0.7742          0.0046          soil3          
23.65           1.32            0.0000          0.1469          0.8469          0.0062          soil3          
23.31           1.31            0.0000          0.1647          0.8296          0.0057          soil3          
37.86           1.47            0.0000          0.0101          0.9638          0.0261          soil3          
28.35           1.36            0.0000          0.0749          0.9149          0.0102          soil3          
23.72           1.28            0.0000          0.1967          0.7981          0.0052          soil3          
24.43           1.34            0.0000          0.1170          0.8758          0.0072          soil3          
40.48           1.45            0.0000          0.0090          0.9626          0.0284          soil3          
27.51           1.34            0.0000          0.0955          0.8956          0.0089          soil3          
33.05           1.45            0.0000          0.0210          0.9604          0.0186          soil3          
41.82           1.49            0.0000          0.0053          0.9611          0.0336          soil3          
29.89           1.37            0.0000          0.0614          0.9269          0.0117          soil3          
27.84           1.31            0.0000          0.1263          0.8657          0.0080          soil3          
29.34           1.31            0.0000          0.1106          0.8804          0.0090          soil3          
32.47           1.41            0.0000          0.0328          0.9513          0.0159          soil3          
48.47           1.66            0.0000          0.0003          0.9225          0.0772          soil3          
43.97           1.46            0.0000          0.0049          0.9599          0.0352          soil3          
40.07           1.28            0.0000          0.0454          0.9376          0.0170          soil3          
64.80           1.84            0.0000          0.0000          0.7674          0.2326          soil3          
40.24           1.26            0.0000          0.0506          0.9330          0.0164          soil3          
30.63           1.23            0.0000          0.1786          0.8141          0.0073          soil3          
27.83           1.03            0.0001          0.5026          0.4949          0.0024          soil2          
53.36           2.48            0.0000          0.0000          0.1867          0.8133          soil4          
59.14           3.48            0.0000          0.0000          0.0001          0.9999          soil4          
59.91           2.74            0.0000          0.0000          0.0382          0.9618          soil4          
41.13           2.10            0.0000          0.0000          0.7178          0.2822          soil3          
41.89           3.03            0.0000          0.0000          0.0052          0.9948          soil4          
26.46           1.08            0.0000          0.4655          0.5319          0.0026          soil3          
39.86           2.01            0.0000          0.0000          0.8061          0.1939          soil3          
61.71           2.59            0.0000          0.0000          0.0922          0.9078          soil4          
26.67           0.74            0.0543          0.6965          0.2484          0.0007          soil2          
30.15           0.76            0.0152          0.6297          0.3538          0.0014          soil2          
33.62           0.78            0.0032          0.5128          0.4814          0.0026          soil2          
37.09           0.80            0.0005          0.3737          0.6214          0.0044          soil3          
40.57           0.82            0.0001          0.2408          0.7521          0.0071          soil3          
44.04           0.84            0.0000          0.1370          0.8524          0.0105          soil3          
47.51           0.86            0.0000          0.0697          0.9156          0.0147          soil3          
28.18           0.49            0.0996          0.5784          0.3211          0.0010          soil2          
41.40           0.86            0.0000          0.2056          0.7863          0.0081          soil3          
35.13           0.58            0.0056          0.4230          0.5683          0.0031          soil3          
23.57           0.52            0.3566          0.5015          0.1416          0.0003          soil2          
14.36           0.49            0.7902          0.1866          0.0232          0.0000          soil1          
11.17           0.51            0.8296          0.1551          0.0153          0.0000          soil1          
15.84           0.71            0.3626          0.5638          0.0735          0.0001          soil2          
13.71           0.63            0.6293          0.3346          0.0361          0.0000          soil1          
13.21           0.46            0.8169          0.1632          0.0199          0.0000          soil1          
13.81           0.45            0.8052          0.1727          0.0222          0.0000          soil1          
20.59           0.52            0.5433          0.3796          0.0770          0.0001          soil1          
15.78           0.57            0.7033          0.2637          0.0330          0.0000          soil1          
13.49           0.56            0.7580          0.2185          0.0235          0.0000          soil1          
11.17           0.50            0.8372          0.1479          0.0149          0.0000          soil1          
11.56           0.51            0.8282          0.1560          0.0158          0.0000          soil1          
10.30           0.51            0.8383          0.1477          0.0140          0.0000          soil1          
9.94            0.47            0.8566          0.1305          0.0129          0.0000          soil1          
10.29           0.52            0.8343          0.1515          0.0142          0.0000          soil1          
10.60           0.53            0.8215          0.1632          0.0153          0.0000          soil1          
11.64           0.54            0.8083          0.1745          0.0172          0.0000          soil1          
11.01           0.56            0.7935          0.1888          0.0177          0.0000          soil1          
12.93           0.57            0.7544          0.2226          0.0230          0.0000          soil1          
13.86           0.59            0.7072          0.2641          0.0286          0.0000          soil1          
12.93           0.56            0.7646          0.2132          0.0221          0.0000          soil1          
11.94           0.57            0.7733          0.2065          0.0203          0.0000          soil1          
12.33           0.60            0.7224          0.2525          0.0251          0.0000          soil1          
12.15           0.62            0.6756          0.2952          0.0292          0.0000          soil1          
13.18           0.63            0.6507          0.3163          0.0330          0.0000          soil1          
11.65           0.64            0.6296          0.3375          0.0329          0.0000          soil1          
11.70           0.62            0.6810          0.2909          0.0281          0.0000          soil1          
14.80           0.66            0.5454          0.4071          0.0474          0.0000          soil1          
12.66           0.67            0.5487          0.4086          0.0426          0.0000          soil1          
11.88           0.67            0.5481          0.4105          0.0414          0.0000          soil1          
13.83           0.70            0.4081          0.5305          0.0614          0.0001          soil2          
12.40           0.70            0.4388          0.5069          0.0543          0.0000          soil2          
11.45           0.70            0.4448          0.5033          0.0518          0.0000          soil2          
11.99           0.68            0.5113          0.4432          0.0454          0.0000          soil1          
12.10           0.74            0.2935          0.6345          0.0719          0.0001          soil2          
14.04           0.75            0.2444          0.6706          0.0849          0.0001          soil2          
13.05           0.75            0.2663          0.6552          0.0784          0.0001          soil2          
13.29           0.75            0.2623          0.6579          0.0797          0.0001          soil2          
12.40           0.76            0.2082          0.7060          0.0856          0.0001          soil2          
15.12           0.77            0.1676          0.7295          0.1029          0.0001          soil2          
14.50           0.81            0.0902          0.7907          0.1190          0.0001          soil2          
13.59           0.82            0.0749          0.8050          0.1200          0.0001          soil2          
14.12           0.80            0.1108          0.7775          0.1116          0.0001          soil2          
13.42           0.82            0.0847          0.7991          0.1161          0.0001          soil2          
16.46           0.89            0.0163          0.8106          0.1729          0.0003          soil2          
21.02           0.88            0.0118          0.7694          0.2183          0.0005          soil2          
15.48           0.85            0.0376          0.8158          0.1464          0.0002          soil2          
17.43           0.89            0.0136          0.8020          0.1841          0.0003          soil2          
17.12           0.91            0.0084          0.7970          0.1942          0.0003          soil2          
17.18           0.95            0.0028          0.7716          0.2252          0.0004          soil2          
16.88           0.90            0.0121          0.8044          0.1833          0.0003          soil2          
16.81           0.88            0.0196          0.8096          0.1705          0.0003          soil2          
17.54           0.94            0.0032          0.7727          0.2236          0.0004          soil2          
19.99           0.95            0.0026          0.7452          0.2516          0.0006          soil2          
19.42           0.93            0.0047          0.7658          0.2290          0.0005          soil2          
17.34           0.90            0.0125          0.8015          0.1857          0.0003          soil2          
19.10           0.92            0.0053          0.7716          0.2226          0.0005          soil2          
19.40           0.93            0.0050          0.7674          0.2272          0.0005          soil2          
19.69           0.93            0.0047          0.7630          0.2319          0.0005          soil2          
19.99           0.93            0.0043          0.7584          0.2367          0.0005          soil2          
20.28           0.93            0.0040          0.7537          0.2417          0.0006          soil2          
20.58           0.93            0.0037          0.7488          0.2469          0.0006          soil2          
20.87           0.93            0.0035          0.7437          0.2522          0.0006          soil2          
21.17           0.94            0.0032          0.7385          0.2576          0.0006          soil2          
20.40           1.06            0.0001          0.6144          0.3844          0.0011          soil2          
18.66           1.02            0.0003          0.6890          0.3100          0.0007          soil2          
20.26           1.01            0.0003          0.6760          0.3228          0.0009          soil2          
16.94           0.99            0.0008          0.7355          0.2632          0.0005          soil2          
18.33           1.02            0.0003          0.6968          0.3022          0.0007          soil2          
19.98           1.08            0.0000          0.5962          0.4025          0.0012          soil2          
22.87           1.11            0.0000          0.4999          0.4982          0.0020          soil2          
21.69           1.10            0.0000          0.5290          0.4693          0.0017          soil2          
22.28           1.18            0.0000          0.3833          0.6139          0.0028          soil3          
21.41           1.16            0.0000          0.4396          0.5581          0.0022          soil3          
26.07           1.18            0.0000          0.3172          0.6788          0.0040          soil3          
20.50           1.18            0.0000          0.4152          0.5825          0.0023          soil3          
60.81           1.58            0.0000          0.0001          0.8970          0.1029          soil3          
25.21           1.18            0.0000          0.3354          0.6609          0.0037          soil3          
24.26           1.15            0.0000          0.4028          0.5943          0.0029          soil3          
23.41           1.16            0.0000          0.3980          0.5992          0.0028          soil3          
32.71           1.25            0.0000          0.1285          0.8622          0.0093          soil3          
42.44           1.40            0.0000          0.0120          0.9611          0.0269          soil3          
53.82           1.51            0.0000          0.0005          0.9351          0.0643          soil3          
58.60           1.74            0.0000          0.0000          0.8531          0.1469          soil3          
47.10           1.34            0.0000          0.0087          0.9604          0.0308          soil3          
29.01           1.25            0.0000          0.1824          0.8108          0.0068          soil3          
30.43           1.31            0.0000          0.0994          0.8908          0.0098          soil3          
82.59           1.67            0.0000          0.0000          0.7422          0.2578          soil3          
33.88           1.21            0.0000          0.1511          0.8400          0.0089          soil3          
31.63           1.21            0.0000          0.1837          0.8089          0.0074          soil3          
29.24           1.08            0.0000          0.4075          0.5891          0.0034          soil3          
25.91           1.13            0.0000          0.4080          0.5890          0.0030          soil3          
25.12           1.17            0.0000          0.3541          0.6424          0.0035          soil3          
25.47           1.22            0.0000          0.2645          0.7309          0.0046          soil3          
33.88           1.30            0.0000          0.0792          0.9088          0.0120          soil3          
33.53           1.34            0.0000          0.0603          0.9265          0.0132          soil3          
53.95           1.62            0.0000          0.0002          0.9125          0.0874          soil3          
53.60           1.55            0.0000          0.0004          0.9287          0.0709          soil3          
30.29           1.15            0.0000          0.2900          0.7049          0.0051          soil3          
41.11           2.14            0.0000          0.0000          0.6725          0.3275          soil3          
59.46           3.19            0.0000          0.0000          0.0014          0.9986          soil4          
48.98           1.29            0.0000          0.0093          0.9602          0.0305          soil3          
68.44           2.51            0.0000          0.0000          0.1316          0.8684          soil4          
64.54           3.00            0.0000          0.0000          0.0063          0.9937          soil4          
